Date,Num. of Tweet,Num. of Retweets,Num. of Favorites,CEO_GI,MSFT_GI,MCP_Trend
2010-01,91,67,36,43,24,1
2010-02,54,68,39,22,16,1
2010-03,19,14,13,21,22,1
2010-04,36,37,22,21,22,1
2010-05,14,16,6,22,20,0
2010-06,21,13,9,26,20,0
2010-07,3,2,1,19,21,1
2010-08,18,17,6,16,14,0
2010-09,33,37,37,16,18,1
2010-10,56,33,20,33,27,1
2010-11,52,229,32,30,19,0
2010-12,76,353,70,21,16,1
2011-01,93,936,189,28,23,1
2011-02,54,609,92,26,19,0
2011-03,73,23858,1901,19,19,0
2011-04,37,505,113,20,20,1
2011-05,53,727,138,31,24,0
2011-06,95,2110,409,18,15,1
2011-07,59,1379,178,16,18,1
2011-08,55,989,216,17,17,0
2011-09,54,1244,218,18,18,0
2011-10,40,2172,212,34,23,1
2012-02,4,734,86,14,21,1
2012-03,72,1204,218,12,18,1
2012-04,68,1219,180,12,19,1
2012-05,75,1772,268,15,17,0
2012-06,122,2611,417,30,23,1
2012-07,111,2067,404,23,17,0
2012-08,135,3200,555,14,14,1
2012-09,82,1143,328,17,19,0
2012-10,119,5112,1049,23,21,0
2012-11,118,2304,697,23,22,0
2012-12,118,1673,663,15,16,1
2013-01,111,2956,988,21,24,1
2013-02,99,5732,896,15,18,1
2013-03,96,3157,940,15,17,1
2013-04,152,2111,782,14,19,1
2013-05,140,9994,4158,17,19,1
2013-06,137,9327,3060,15,17,0
2013-07,112,6718,3190,19,19,0
2013-08,150,4756,2418,78,23,1
2013-09,130,7049,2584,42,29,1
2013-10,169,7733,3638,23,24,1
2013-11,197,7812,5579,24,22,1
2013-12,259,7867,6588,17,20,0
2014-01,299,14048,12099,27,23,1
2014-02,427,23423,16930,121,48,1
2014-03,237,7125,7173,29,20,1
2014-04,264,9862,10261,21,25,0
2014-05,172,5531,6707,108,25,1
2014-06,172,6185,13920,38,18,1
2014-07,189,6007,6615,29,63,1
2014-08,134,3634,4111,73,23,1
2014-09,100,9023,8594,25,42,1
2014-10,149,19681,22505,44,37,1
2014-11,78,9359,13312,24,24,0
2014-12,71,5191,6727,18,20,0
2015-01,73,41658,37421,32,25,0
2015-02,212,18593,35708,18,24,1
2015-03,52,4869,5014,16,25,0
2015-04,78,4091,5214,22,28,1
2015-05,66,2715,3221,30,25,0
2015-06,81,3860,4806,20,21,0
2015-07,99,5073,6480,22,30,1
2015-08,23,2959,3683,23,28,0
2015-09,27,5707,8361,24,25,1
2015-10,70,16336,21055,25,32,1
2015-11,12,1504,1948,20,25,1
2015-12,40,3257,6351,20,24,1
2016-01,34,1991,3403,18,29,0
2016-02,26,4130,6736,19,28,0
2016-03,85,10930,16202,25,24,1
2016-04,21,3160,5599,16,28,0
2016-05,20,2853,5853,16,23,1
2016-06,31,6974,9854,18,34,0
2016-07,20,4549,8990,14,24,1
2016-08,37,2819,6737,13,22,1
2016-09,36,6604,11363,13,28,1
2016-10,33,12846,19504,17,29,1
2016-11,29,4100,9149,18,24,1
2016-12,30,4892,10751,16,25,1
2017-01,38,3776,8197,18,31,1
2017-02,38,5563,10507,17,29,1
2017-03,36,7573,16232,15,28,1
2017-04,32,21426,37724,27,27,1
2017-05,63,16055,26568,22,37,
Total,7617,483606,525237,,,
